price,highwaympg,horsepower,wheelbase,fueltype
13495,27,111,88.6,gas
16500,27,111,88.6,gas
16500,26,154,94.5,gas
13950,30,102,99.8,gas
17450,22,115,99.4,gas
15250,25,110,99.8,gas
17710,25,110,105.8,gas
18920,25,110,105.8,gas
23875,20,140,105.8,gas
17859.167,22,160,99.5,gas
16430,29,101,101.2,gas
16925,29,101,101.2,gas
20970,28,121,101.2,gas
21105,28,121,101.2,gas
24565,25,121,103.5,gas
30760,22,182,103.5,gas
41315,22,182,103.5,gas
36880,20,182,110,gas
5151,53,48,88.4,gas
6295,43,70,94.5,gas
6575,43,70,94.5,gas
5572,41,68,93.7,gas
6377,38,68,93.7,gas
7957,30,102,93.7,gas
6229,38,68,93.7,gas
6692,38,68,93.7,gas
7609,38,68,93.7,gas
8558,30,102,93.7,gas
8921,30,88,103.3,gas
12964,24,145,95.9,gas
6479,54,58,86.6,gas
6855,38,76,86.6,gas
5399,42,60,93.7,gas
6529,34,76,93.7,gas
7129,34,76,93.7,gas
7295,34,76,96.5,gas
7295,34,76,96.5,gas
7895,33,86,96.5,gas
9095,33,86,96.5,gas
8845,33,86,96.5,gas
10295,33,86,96.5,gas
12945,28,101,96.5,gas
10345,31,100,96.5,gas
6785,29,78,94.3,gas
8916.5,43,70,94.5,gas
8916.5,43,70,94.5,gas
11048,29,90,96,gas
32250,19,176,113,gas
35550,19,176,113,gas
36000,17,262,102,gas
5195,31,68,93.1,gas
6095,38,68,93.1,gas
6795,38,68,93.1,gas
6695,38,68,93.1,gas
7395,38,68,93.1,gas
10945,23,101,95.3,gas
11845,23,101,95.3,gas
13645,23,101,95.3,gas
15645,23,135,95.3,gas
8845,32,84,98.8,gas
8495,32,84,98.8,gas
10595,32,84,98.8,gas
10245,32,84,98.8,gas
10795,42,64,98.8,diesel
11245,32,84,98.8,gas
18280,27,120,104.9,gas
18344,39,72,104.9,diesel
25552,25,123,110,diesel
28248,25,123,110,diesel
28176,25,123,106.7,diesel
31600,25,123,115.6,diesel
34184,18,155,115.6,gas
35056,18,155,96.6,gas
40960,16,184,120.9,gas
45400,16,184,112,gas
16503,24,175,102.7,gas
5389,41,68,93.7,gas
6189,38,68,93.7,gas
6669,38,68,93.7,gas
7689,30,102,93,gas
9959,30,116,96.3,gas
8499,32,88,96.3,gas
12629,24,145,95.9,gas
14869,24,145,95.9,gas
14489,24,145,95.9,gas
6989,32,88,96.3,gas
8189,32,88,96.3,gas
9279,30,116,96.3,gas
9279,30,116,96.3,gas
5499,37,69,94.5,gas
7099,50,55,94.5,diesel
6649,37,69,94.5,gas
6849,37,69,94.5,gas
7349,37,69,94.5,gas
7299,37,69,94.5,gas
7799,37,69,94.5,gas
7499,37,69,94.5,gas
7999,37,69,94.5,gas
8249,37,69,95.1,gas
8949,34,97,97.2,gas
9549,34,97,97.2,gas
13499,22,152,100.4,gas
14399,22,152,100.4,gas
13499,25,152,100.4,gas
17199,25,160,91.3,gas
19699,23,200,91.3,gas
18399,25,160,99.2,gas
11900,24,97,107.9,gas
13200,33,95,107.9,diesel
12440,24,97,114.2,gas
13860,25,95,114.2,diesel
15580,24,95,107.9,gas
16900,33,95,107.9,diesel
16695,24,95,114.2,gas
17075,25,95,114.2,diesel
16630,24,97,107.9,gas
17950,33,95,107.9,diesel
18150,24,142,108,gas
5572,41,68,93.7,gas
7957,30,102,93.7,gas
6229,38,68,93.7,gas
6692,38,68,93.7,gas
7609,38,68,93.7,gas
8921,30,88,103.3,gas
12764,24,145,95.9,gas
22018,27,143,94.5,gas
32528,25,207,89.5,gas
34028,25,207,89.5,gas
37028,25,207,89.5,gas
31400.5,28,288,98.4,gas
9295,31,90,96.1,gas
9895,31,90,96.1,gas
11850,28,110,99.1,gas
12170,28,110,99.1,gas
15040,28,110,99.1,gas
15510,28,110,99.1,gas
18150,26,160,99.1,gas
18620,26,160,99.1,gas
5118,36,69,93.7,gas
7053,31,73,93.7,gas
7603,31,73,93.3,gas
7126,37,82,97.2,gas
7775,33,82,97.2,gas
9960,32,94,97.2,gas
9233,25,82,97,gas
11259,29,111,97,gas
7463,32,82,97,gas
10198,31,94,97,gas
8013,29,82,96.9,gas
11694,23,111,96.9,gas
5348,39,62,95.7,gas
6338,38,62,95.7,gas
6488,38,62,95.7,gas
6918,37,62,95.7,gas
7898,32,62,95.7,gas
8778,32,62,95.7,gas
6938,37,70,95.7,gas
7198,37,70,95.7,gas
7898,36,56,95.7,diesel
7788,47,56,95.7,diesel
7738,47,70,95.7,gas
8358,34,70,95.7,gas
9258,34,70,95.7,gas
8058,34,70,94.5,gas
8238,34,70,94.5,gas
9298,29,112,94.5,gas
9538,29,112,94.5,gas
8449,30,116,98.4,gas
9639,30,116,98.4,gas
9989,30,116,98.4,gas
11199,30,116,98.4,gas
11549,30,116,98.4,gas
17669,30,116,98.4,gas
8948,34,92,102.4,gas
10698,33,73,102.4,diesel
9988,32,92,102.4,gas
10898,32,92,102.4,gas
11248,32,92,102.4,gas
16558,24,161,102.9,gas
15998,24,161,102.9,gas
15690,24,156,104.5,gas
15750,24,156,104.5,gas
7775,46,52,97.3,diesel
7975,34,85,97.3,gas
